,T12,S5,S11,T9,S7,S9,T15,T2,T5,S15,T4,S13,T13,T8,S14,S6,T1,T14,T3,S12,S4,S10,T6,T11,T10,T7,S8
T4,0.1143007464,0.1819410437,0.120201354,0.1675426778,0.1134356499,0.122562379,0.0676043505,0.1594351189,0.1366790605,0.0867416111,0,0.1563601968,0.1238304997,0.0849863758,0.0887262237,0.1065941162,0.1715172795,0.1545699013,0.1365764291,0.1552888983,0.1764165157,0.107893651,0.4786817702,0.4873217737,0.4647660438,0.4774982708,0.2825640942
S13,0.0788684498,0.1345006847,0.0829985379,0.2911514145,0.1417832002,0.1739172314,0.1280852276,0.122497403,0.1106123459,0.0873405523,0.1563601968,0,0.0732173481,0.1320146325,0.0971530477,0.2253491181,0.0507699158,0.2721978534,0.0704997902,0.0355459997,0.2882862716,0.2313779266,0.4846061245,0.490627355,0.466533625,0.4830278089,0.4091487327
T13,0.0368254419,0.1176383762,0.0271453871,0.2417581391,0.0988034336,0.1168750897,0.0744761133,0.1033705226,0.1181536775,0.0579257846,0.1238304997,0.0732173481,0,0.0628783873,0.0457708861,0.1668610864,0.0909975891,0.2176491865,0.07332308,0.0667720787,0.2424645458,0.1773683852,0.4829131217,0.4927736411,0.4683968711,0.4814629512,0.3629458824
T8,0.0682530353,0.1238691876,0.0609147119,0.1905548609,0.0711174534,0.0823867935,0.0448577296,0.1239690243,0.1506026497,0.0543187454,0.0849863758,0.1320146325,0.0628783873,0,0.0437451968,0.1241310181,0.1421660417,0.177273778,0.1081313823,0.1233834205,0.1976105708,0.1286342342,0.4725655991,0.4864110261,0.4637959769,0.4711325148,0.3128025932
S14,0.0480807478,0.1220396111,0.0460690616,0.2123413463,0.0890131359,0.0918827913,0.0372767573,0.1015846015,0.1253719143,0.0192994192,0.0887262237,0.0971530477,0.0457708861,0.0437451968,0,0.1361821602,0.1090019594,0.187689333,0.0776097391,0.0893550094,0.2120697162,0.1461286047,0.4781228758,0.4852462673,0.4616650651,0.4765367729,0.3334181313
S6,0.1685061028,0.2197580725,0.1618021169,0.0913666332,0.1439751571,0.1499987793,0.1046479533,0.2097449622,0.2194425542,0.147681027,0.1065941162,0.2253491181,0.1668610864,0.1241310181,0.1361821602,0,0.2373300215,0.0633924198,0.2022566418,0.2211989095,0.0891178754,0.0404791444,0.4656865413,0.4748783909,0.453078524,0.4635232788,0.2013193748
T1,0.0943362585,0.1521596575,0.0901796786,0.3035083408,0.1588855955,0.1879784095,0.1377589359,0.1362889749,0.13088369,0.1010346,0.1715172795,0.0507699158,0.0909975891,0.1421660417,0.1090019594,0.2373300215,0,0.2846510619,0.075949564,0.0582525328,0.3021803504,0.2428226526,0.4920699588,0.5017188485,0.4775397519,0.4904333343,0.4214969568
T14,0.2206014713,0.2742001121,0.2149955316,0.0456887609,0.1959689383,0.2065403227,0.1563256777,0.2599037813,0.2661063433,0.1946571599,0.1545699013,0.2721978534,0.2176491865,0.177273778,0.187689333,0.0633924198,0.2846510619,0,0.2522245636,0.2676011312,0.0889116652,0.0806749255,0.4644629165,0.4739977614,0.4517357693,0.4632083875,0.1489487699
T3,0.0765260579,0.1335667997,0.0669019855,0.2567991444,0.1405250043,0.1355008956,0.1069654478,0.0879829625,0.0875201451,0.073457111,0.1365764291,0.0704997902,0.07332308,0.1081313823,0.0776097391,0.2022566418,0.075949564,0.2522245636,0,0.0616586955,0.2575814803,0.2077942184,0.4654899093,0.4710383546,0.4472243163,0.4623662363,0.387024341
S12,0.0798269152,0.1351533232,0.0840112831,0.283685516,0.1447133802,0.1649360755,0.1218063321,0.1117521849,0.1003587775,0.0822679557,0.1552888983,0.0355459997,0.0667720787,0.1233834205,0.0893550094,0.2211989095,0.0582525328,0.2676011312,0.0616586955,0,0.2802290463,0.2263477046,0.4784636239,0.4832597555,0.4593616728,0.4763541844,0.4082040558
S4,0.2367123456,0.2831006582,0.2406964138,0.0954428137,0.2226938616,0.192240875,0.1827877266,0.2528912434,0.2801645862,0.2206356005,0.1764165157,0.2882862716,0.2424645458,0.1976105708,0.2120697162,0.0891178754,0.3021803504,0.0889116652,0.2575814803,0.2802290463,0,0.1172708081,0.3945228407,0.4178292022,0.3903118615,0.3903418978,0.2076955588
S10,0.1736499668,0.2269846207,0.1650263737,0.0905634843,0.1597639286,0.1677506097,0.1143427695,0.2190070665,0.2264737045,0.1566214379,0.107893651,0.2313779266,0.1773683852,0.1286342342,0.1461286047,0.0404791444,0.2428226526,0.0806749255,0.2077942184,0.2263477046,0.1172708081,0,0.4821343073,0.4882076997,0.4664079426,0.4801202159,0.2073049999
T6,0.4754687612,0.4313055085,0.4892313534,0.4599355,0.4823286835,0.4483176158,0.4841004332,0.4098595873,0.4377007271,0.4830141244,0.4786817702,0.4846061245,0.4829131217,0.4725655991,0.4781228758,0.4656865413,0.4920699588,0.4644629165,0.4654899093,0.4784636239,0.3945228407,0.4821343073,0,0.2310078551,0.1898935831,0.0659631124,0.5251623482
T11,0.4841252206,0.4253124585,0.4935516082,0.4642949282,0.4940237132,0.4541684934,0.4910561306,0.4174326999,0.4491897829,0.4902222083,0.4873217737,0.490627355,0.4927736411,0.4864110261,0.4852462673,0.4748783909,0.5017188485,0.4739977614,0.4710383546,0.4832597555,0.4178292022,0.4882076997,0.2310078551,0,0.084543279,0.2656400548,0.5314144122
T10,0.4600759235,0.4012968168,0.4701888349,0.447467589,0.4718324457,0.4308620738,0.4693058438,0.3911537126,0.4235561528,0.4665677724,0.4647660438,0.466533625,0.4683968711,0.4637959769,0.4616650651,0.453078524,0.4775397519,0.4517357693,0.4472243163,0.4593616728,0.3903118615,0.4664079426,0.1898935831,0.084543279,0,0.2101762362,0.5199187795
T7,0.4739799398,0.4406877817,0.4869170992,0.4587245982,0.4811803171,0.4445454001,0.482112663,0.405385208,0.4352622407,0.4813779358,0.4774982708,0.4830278089,0.4814629512,0.4711325148,0.4765367729,0.4635232788,0.4904333343,0.4632083875,0.4623662363,0.4763541844,0.3903418978,0.4801202159,0.0659631124,0.2656400548,0.2101762362,0,0.5247590477
S8,0.3463218071,0.4131458637,0.354440889,0.141671356,0.3417363168,0.3384736709,0.3001701371,0.402162286,0.4005067194,0.3352457782,0.2825640942,0.4091487327,0.3629458824,0.3128025932,0.3334181313,0.2013193748,0.4214969568,0.1489487699,0.387024341,0.4082040558,0.2076955588,0.2073049999,0.5251623482,0.5314144122,0.5199187795,0.5247590477,0
