Sample,Carbon,Guild,Scenario,Mu,K,Bloco,ABS-120,
46,Pyruvic Acid Methyl Ester,Miscellaneous,Mu1K1,Mu1,k1,2,"0,134246587",
46,Tween 40,Polymers,Mu1K1,Mu1,k1,2,"1,514261245",
46,I-Erythritol,Carbohydates,Mu1K1,Mu1,k1,2,"0,910696506",
46,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,0,
46,L-Phenylalanine,Amino Acids,Mu1K1,Mu1,k1,2,"0,233520507",
46,L-Serine,Amino Acids,Mu1K1,Mu1,k1,2,"0,965785265",
46,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,"1,362962245",
46,D-Mannitol,Carbohydates,Mu1K1,Mu1,k1,2,"0,66740334",
46,Tween 80,Polymers,Mu1K1,Mu1,k1,2,"1,198050022",
46,α-Cyclodextrin,Polymers,Mu1K1,Mu1,k1,2,"0,965993642",
46,N-Acetyl-D-Glucosamina,Carbohydates,Mu1K1,Mu1,k1,2,"1,69094038",
46,T-Hydroxybutiric Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,"0,228318929",
46,L-Threonine,Amino Acids,Mu1K1,Mu1,k1,2,"0,134101867",
46,Glycyl-L-Glutamic Acid,Amino Acids,Mu1K1,Mu1,k1,2,"0,922689914",
46,Itaconic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,"1,564609527",
46,D-Glucosaminic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,"0,134164094",
46,Glycogen,Polymers,Mu1K1,Mu1,k1,2,"0,392969846",
46,D-Cellobiose,Carbohydates,Mu1K1,Mu1,k1,2,"1,807671546",
46,Glucose-1-Phosphate,Miscellaneous,Mu1K1,Mu1,k1,2,"0,922810792",
46,α-Kentocutyric Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,"0,224820137",
46,Phenylethylamine,Amines/Amides,Mu1K1,Mu1,k1,2,"0,150645494",
46,Putrescina,Amines/Amides,Mu1K1,Mu1,k1,2,"1,745959281",
46,D-Malic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,0,
46,"D,L-α-Glycerolphosphate",Miscellaneous,Mu1K1,Mu1,k1,2,"0,630966901",
46,α-D-Lactose,Carbohydates,Mu1K1,Mu1,k1,2,"0,637931585",
49,Β-Methil-D-Glucoside,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"1,362244367",
49,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,"0,646159649",
49,L-Arginine,Amino Acids,Mu0.1K1,Mu0.1,k1,4,"0,600464344",
49,L-Asparigine,Amino Acids,Mu0.1K1,Mu0.1,k1,4,"0,8838346",
49,D-Galactoronic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,"0,758121967",
49,D-Xylose,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"0,507386684",
49,Pyruvic Acid Methyl Ester,Miscellaneous,Mu0.1K1,Mu0.1,k1,4,"0,236828327",
49,Tween 40,Polymers,Mu0.1K1,Mu0.1,k1,4,"0,51977539",
49,I-Erythritol,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"1,427236557",
49,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,0,
49,L-Phenylalanine,Amino Acids,Mu0.1K1,Mu0.1,k1,4,"0,404992938",
49,L-Serine,Amino Acids,Mu0.1K1,Mu0.1,k1,4,"1,549971819",
49,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,"1,610358476",
49,D-Mannitol,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"1,518561124",
49,Tween 80,Polymers,Mu0.1K1,Mu0.1,k1,4,"1,308717012",
49,α-Cyclodextrin,Polymers,Mu0.1K1,Mu0.1,k1,4,"0,449749946",
49,N-Acetyl-D-Glucosamina,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"0,353072643",
49,T-Hydroxybutiric Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,"0,17609334",
49,L-Threonine,Amino Acids,Mu0.1K1,Mu0.1,k1,4,0,
49,Glycyl-L-Glutamic Acid,Amino Acids,Mu0.1K1,Mu0.1,k1,4,"1,117161035",
49,Itaconic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,"0,720990419",
49,D-Glucosaminic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,"1,290863752",
49,Glycogen,Polymers,Mu0.1K1,Mu0.1,k1,4,"0,547467947",
49,D-Cellobiose,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"0,447420477",
49,Glucose-1-Phosphate,Miscellaneous,Mu0.1K1,Mu0.1,k1,4,"0,077899932",
49,α-Kentocutyric Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,0,
49,Phenylethylamine,Amines/Amides,Mu0.1K1,Mu0.1,k1,4,"1,93856883",
49,Putrescina,Amines/Amides,Mu0.1K1,Mu0.1,k1,4,"1,811870336",
49,D-Malic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,"0,211023569",
49,"D,L-α-Glycerolphosphate",Miscellaneous,Mu0.1K1,Mu0.1,k1,4,"0,425858974",
49,α-D-Lactose,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"0,861080885",
51,Β-Methil-D-Glucoside,Carbohydates,Mu1K1,Mu1,k1,2,"0,592098355",
51,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu1K1,Mu1,k1,2,"0,215996623",
51,L-Arginine,Amino Acids,Mu1K1,Mu1,k1,2,"0,119240641",
51,L-Asparigine,Amino Acids,Mu1K1,Mu1,k1,2,"0,591950774",
51,D-Galactoronic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,"0,969270587",
51,D-Xylose,Carbohydates,Mu1K1,Mu1,k1,2,"0,962628722",
51,Pyruvic Acid Methyl Ester,Miscellaneous,Mu1K1,Mu1,k1,2,"0,819026827",
51,Tween 40,Polymers,Mu1K1,Mu1,k1,2,"0,377937555",
51,I-Erythritol,Carbohydates,Mu1K1,Mu1,k1,2,0,
51,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,0,
51,L-Phenylalanine,Amino Acids,Mu1K1,Mu1,k1,2,0,
51,L-Serine,Amino Acids,Mu1K1,Mu1,k1,2,"0,81898868",
51,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,"1,423903823",
51,D-Mannitol,Carbohydates,Mu1K1,Mu1,k1,2,"0,257611632",
51,Tween 80,Polymers,Mu1K1,Mu1,k1,2,"1,133665919",
51,α-Cyclodextrin,Polymers,Mu1K1,Mu1,k1,2,"0,66233766",
51,N-Acetyl-D-Glucosamina,Carbohydates,Mu1K1,Mu1,k1,2,"1,341319441",
51,T-Hydroxybutiric Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,0,
51,L-Threonine,Amino Acids,Mu1K1,Mu1,k1,2,0,
51,Glycyl-L-Glutamic Acid,Amino Acids,Mu1K1,Mu1,k1,2,"0,167351365",
51,Itaconic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,"1,17252171",
51,D-Glucosaminic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,0,
51,Glycogen,Polymers,Mu1K1,Mu1,k1,2,0,
51,D-Cellobiose,Carbohydates,Mu1K1,Mu1,k1,2,"1,400879264",
51,Glucose-1-Phosphate,Miscellaneous,Mu1K1,Mu1,k1,2,"0,822794795",
51,α-Kentocutyric Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,0,
51,Phenylethylamine,Amines/Amides,Mu1K1,Mu1,k1,2,0,
51,Putrescina,Amines/Amides,Mu1K1,Mu1,k1,2,"1,57063353",
51,D-Malic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,2,"0,386586904",
51,"D,L-α-Glycerolphosphate",Miscellaneous,Mu1K1,Mu1,k1,2,"1,172341704",
51,α-D-Lactose,Carbohydates,Mu1K1,Mu1,k1,2,"0,601771712",
52,Β-Methil-D-Glucoside,Carbohydates,Mu1K0.5,Mu1,k0.5,3,"0,364169121",
52,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"0,791241884",
52,L-Arginine,Amino Acids,Mu1K0.5,Mu1,k0.5,3,"1,14287281",
52,L-Asparigine,Amino Acids,Mu1K0.5,Mu1,k0.5,3,"0,910284758",
52,D-Galactoronic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"0,697161555",
52,D-Xylose,Carbohydates,Mu1K0.5,Mu1,k0.5,3,"0,55336976",
52,Pyruvic Acid Methyl Ester,Miscellaneous,Mu1K0.5,Mu1,k0.5,3,"0,3201859",
52,Tween 40,Polymers,Mu1K0.5,Mu1,k0.5,3,"1,543287754",
52,I-Erythritol,Carbohydates,Mu1K0.5,Mu1,k0.5,3,"1,274819612",
52,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,0,
52,L-Phenylalanine,Amino Acids,Mu1K0.5,Mu1,k0.5,3,0,
52,L-Serine,Amino Acids,Mu1K0.5,Mu1,k0.5,3,"1,349857092",
52,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"1,588678598",
52,D-Mannitol,Carbohydates,Mu1K0.5,Mu1,k0.5,3,"1,408862829",
52,Tween 80,Polymers,Mu1K0.5,Mu1,k0.5,3,"0,455721617",
52,α-Cyclodextrin,Polymers,Mu1K0.5,Mu1,k0.5,3,"1,569835901",
52,N-Acetyl-D-Glucosamina,Carbohydates,Mu1K0.5,Mu1,k0.5,3,"1,99150157",
52,T-Hydroxybutiric Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,0,
52,L-Threonine,Amino Acids,Mu1K0.5,Mu1,k0.5,3,"0,801283836",
52,Glycyl-L-Glutamic Acid,Amino Acids,Mu1K0.5,Mu1,k0.5,3,"1,43029046",
52,Itaconic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"1,467961073",
52,D-Glucosaminic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"0,666819572",
52,Glycogen,Polymers,Mu1K0.5,Mu1,k0.5,3,"0,215572476",
52,D-Cellobiose,Carbohydates,Mu1K0.5,Mu1,k0.5,3,"1,983837843",
52,Glucose-1-Phosphate,Miscellaneous,Mu1K0.5,Mu1,k0.5,3,"1,297034979",
52,α-Kentocutyric Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,0,
52,Phenylethylamine,Amines/Amides,Mu1K0.5,Mu1,k0.5,3,"0,182859421",
52,Putrescina,Amines/Amides,Mu1K0.5,Mu1,k0.5,3,"1,880206823",
52,D-Malic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"0,318052292",
52,"D,L-α-Glycerolphosphate",Miscellaneous,Mu1K0.5,Mu1,k0.5,3,0,
52,α-D-Lactose,Carbohydates,Mu1K0.5,Mu1,k0.5,3,0,
