Sample,Carbon,Guild,Scenario,Mu,K,Bloco,ABS-120,
12,L-Threonine,Amino Acids,Mu1K0.5,Mu1,k0.5,2,"0,087380648",
12,Glycyl-L-Glutamic Acid,Amino Acids,Mu1K0.5,Mu1,k0.5,2,"1,278427363",
12,Itaconic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,"1,546519757",
12,D-Glucosaminic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,0,
12,Glycogen,Polymers,Mu1K0.5,Mu1,k0.5,2,"0,559312821",
12,D-Cellobiose,Carbohydates,Mu1K0.5,Mu1,k0.5,2,"1,465516091",
12,Glucose-1-Phosphate,Miscellaneous,Mu1K0.5,Mu1,k0.5,2,"0,572883845",
12,α-Kentocutyric Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,0,
12,Phenylethylamine,Amines/Amides,Mu1K0.5,Mu1,k0.5,2,"0,319143296",
12,Putrescina,Amines/Amides,Mu1K0.5,Mu1,k0.5,2,"1,529369593",
12,D-Malic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,"0,342317939",
12,"D,L-α-Glycerolphosphate",Miscellaneous,Mu1K0.5,Mu1,k0.5,2,"1,088227988",
12,α-D-Lactose,Carbohydates,Mu1K0.5,Mu1,k0.5,2,"0,906669856",
13,Β-Methil-D-Glucoside,Carbohydates,Mu1K1,Mu1,k1,3,"1,35396123",
13,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu1K1,Mu1,k1,3,"1,094531775",
13,L-Arginine,Amino Acids,Mu1K1,Mu1,k1,3,"1,116319418",
13,L-Asparigine,Amino Acids,Mu1K1,Mu1,k1,3,"0,830317736",
13,D-Galactoronic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,3,"0,67550683",
13,D-Xylose,Carbohydates,Mu1K1,Mu1,k1,3,"0,471320868",
13,Pyruvic Acid Methyl Ester,Miscellaneous,Mu1K1,Mu1,k1,3,"0,2275877",
13,Tween 40,Polymers,Mu1K1,Mu1,k1,3,"1,35688901",
13,I-Erythritol,Carbohydates,Mu1K1,Mu1,k1,3,"0,843707323",
13,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,3,0,
13,L-Phenylalanine,Amino Acids,Mu1K1,Mu1,k1,3,"0,572726488",
13,L-Serine,Amino Acids,Mu1K1,Mu1,k1,3,"1,422779799",
13,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,3,"1,615674496",
13,D-Mannitol,Carbohydates,Mu1K1,Mu1,k1,3,"1,398216486",
13,Tween 80,Polymers,Mu1K1,Mu1,k1,3,"1,452248335",
13,α-Cyclodextrin,Polymers,Mu1K1,Mu1,k1,3,"1,424615622",
13,N-Acetyl-D-Glucosamina,Carbohydates,Mu1K1,Mu1,k1,3,"1,860855341",
13,T-Hydroxybutiric Acid,Carboxylic Acids,Mu1K1,Mu1,k1,3,0,
13,L-Threonine,Amino Acids,Mu1K1,Mu1,k1,3,"0,67456007",
13,Glycyl-L-Glutamic Acid,Amino Acids,Mu1K0.5,Mu1,k0.5,3,"0,281668544",
13,Itaconic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"1,380622626",
13,D-Glucosaminic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"0,949888945",
13,Glycogen,Polymers,Mu1K0.5,Mu1,k0.5,3,"0,369596482",
13,D-Cellobiose,Carbohydates,Mu1K0.5,Mu1,k0.5,3,"2,018458843",
13,Glucose-1-Phosphate,Miscellaneous,Mu1K0.5,Mu1,k0.5,3,"1,281746626",
13,α-Kentocutyric Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"0,951985121",
13,Phenylethylamine,Amines/Amides,Mu1K0.5,Mu1,k0.5,3,"0,394655943",
13,Putrescina,Amines/Amides,Mu1K1,Mu1,k1,3,"1,975622177",
13,D-Malic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,3,"0,224601031",
13,"D,L-α-Glycerolphosphate",Miscellaneous,Mu1K1,Mu1,k1,3,"0,867522955",
13,α-D-Lactose,Carbohydates,Mu1K1,Mu1,k1,3,"0,877973914",
